video,id_i,id_j,frame,dist_min,dist_min_ratio,delta_acercamiento,delta_separacion,separandose,vel_i_antes,vel_j_antes,vel_i_desp,vel_j_desp,vel_max_antes,ratio_frenazo_i,ratio_frenazo_j,ratio_frenazo_min,angulo_i,angulo_j,angulo_max,n_frames_antes,n_frames_despues,label,confianza_etiqueta
choque-azul.mp4,2,5,115,228.63245,0.89176124,129.24867,0.0,False,13.161055,17.342453,11.918014,17.161306,17.342453,0.90555155,0.9895547,0.90555155,0.027976453,0.027976453,0.027976453,15,0,1,confirmado antes
choque-azul.mp4,3,5,167,269.97043,0.8949144,159.15826,0.0,False,11.697185,4.693285,11.6422825,4.8166447,11.697185,0.9953064,1.0262843,0.9953064,0.01978234,0.0,0.01978234,15,0,0,confirmado antes
choque-azul.mp4,5,6,252,295.9948,0.8974224,183.15671,0.0,False,2.5518982,16.887789,2.506361,17.39804,16.887789,0.98215556,1.0302143,0.98215556,0.0,0.0,0.0,15,0,0,confirmado antes
choque-azul.mp4,5,6,255,262.48587,0.8112941,183.13898,0.0,False,1.1684151,15.131238,1.2863365,15.176766,15.131238,1.1009243,1.0030088,1.0030088,0.0,0.01978234,0.01978234,15,0,0,confirmado antes
choque-puente.mp4,1,3,29,84.3005,0.47463694,244.9814,0.0,False,19.79131,3.880656,18.981432,4.0012317,19.79131,0.95907915,1.031071,0.95907915,0.027976453,0.0,0.027976453,15,2,1,segura (unico candidato)
clip-choque-1.mp4,3,4,59,66.21963,0.87823915,84.20216,0.0,False,3.5634754,2.5422823,3.2971802,3.0066183,3.5634754,0.9252709,1.1826453,0.9252709,0.0,0.0,0.0,15,0,1,segura (unico candidato)
clip-noche-rapido.mp4,2,9,123,34.28401,0.8781541,171.50922,0.0,False,2.3308141,8.713541,2.236369,8.70234,8.713541,0.95947975,0.99871457,0.95947975,0.0,0.0,0.0,14,0,1,segura (unico candidato)
Video Project 2.mp4,4,5,147,217.91895,0.8511096,283.43726,0.0,False,16.131323,43.086998,17.833342,39.3595,43.086998,1.1055102,0.91348904,0.91348904,0.0,0.027976453,0.027976453,15,0,1,confirmado antes
Video Project 2.mp4,4,5,151,217.30618,0.82953763,232.7637,0.0,False,23.601267,34.43628,24.744753,30.227755,34.43628,1.0484502,0.87778807,0.87778807,0.027976453,0.0,0.027976453,15,0,0,confirmado antes
Video Project 2.mp4,3,4,155,220.07155,0.89898163,140.13553,0.0,False,4.705763,20.694864,5.4307733,24.2259,20.694864,1.1540686,1.1706238,1.1540686,0.0,0.0,0.0,15,0,0,confirmado antes
